ToolID,ToolCode,CompanyCode,Model,Barcode,Description,CreatedDate,UpdatedDate,IsActive
378,1017-4.0,MFC,1017-4.0,NULL,"TAP M4 THÉP, NÉN PHỦ ","2019-03-13 16:17:09","2019-03-16 15:56:32",1
379,1017-5.0,MFC,1017-5.0,NULL,"TAP M5 THÉP, NÉN PHỦ","2019-03-13 16:17:10","2019-03-16 15:56:32",1
380,1017-6.0,MFC,1017-6.0,NULL,"TAP M6 THÉP, NÉN PHỦ ","2019-03-13 16:17:10","2019-03-16 15:56:32",1
381,1015-2.0,MFC,1015-2.0,NULL,"TAP M2X0.4, THÉP, THẲNG PHỦ ","2019-03-13 16:17:10","2019-03-16 15:56:32",1
382,1015-2.5,MFC,1015-2.5,NULL,"TAP M2.5X0.45, THÉP, THẲNG PHỦ ","2019-03-13 16:17:10","2019-03-16 15:56:32",1
383,1015-3.0,MFC,1015-3.0,NULL,"TAP M3X0.5, THÉP, THẲNG PHỦ ","2019-03-13 16:17:10","2019-03-16 15:56:32",1
384,1015-4.0,MFC,1015-4.0,NULL,"TAP M4X0.7, THÉP, THẲNG PHỦ ","2019-03-13 16:17:10","2019-03-16 15:56:32",1
385,1015-5.0,MFC,1015-5.0,NULL,"TAP M4X0.8, THÉP, THẲNG PHỦ ","2019-03-13 16:17:10","2019-03-16 15:56:32",1
386,1015-6.0,MFC,1015-6.0,NULL,"TAP M6X1.0, THÉP, THẲNG PHỦ ","2019-03-13 16:17:10","2019-03-16 15:56:32",1
387,1015-8.0,MFC,1015-8.0,NULL,"TAP M8X1.25 THÉP, THẲNG PHỦ ","2019-03-13 16:17:10","2019-03-16 15:56:32",1
388,1015-12.0,MFC,1015-12.0,NULL,"TAP M12X1.75 THÉP, THẲNG PHỦ ","2019-03-13 16:17:10","2019-03-16 15:56:32",1
389,CPMH090308-PR1425,MFC,CPMH090308-PR1425,NULL,"INSERT PHÁ THÔ R0.8","2019-03-13 16:17:10","2019-03-16 15:56:32",1
390,GDM30015N-040GMI-PR1225,MFC,GDM30015N-040GMI-PR1225,NULL,"INSERT TRÍCH RÃNH R0.4","2019-03-13 16:17:10","2019-03-16 15:56:32",1
391,GDM3020N-030PH-PR1535,MFC,GDM3020N-030PH-PR1535,NULL,"INSERT TRÍCH RÃNH R0.3","2019-03-13 16:17:10","2019-03-16 15:56:32",1
392,GDM2013N-020GMI-PR1225,MFC,GDM2013N-020GMI-PR1225,NULL,"INSERT TRÍCH RÃNH R0.2","2019-03-13 16:17:10","2019-03-16 15:56:32",1
393,VNMG160404HQ-CA515,MFC,VNMG160404HQ-CA515,NULL,"INSERT PHÁ THÔ R0.4","2019-03-13 16:17:10","2019-03-16 15:56:32",1
394,GDM2020N-020PH-PR1535,MFC,GDM2020N-020PH-PR1535,NULL,"INSERT TRÍCH RÃNH R0.2","2019-03-13 16:17:10","2019-03-16 15:56:32",1
395,DNMG150408MS-PR305,MFC,DNMG150408MS-PR305,NULL,"INSERT PHÁ THÔ R0.8","2019-03-13 16:17:10","2019-03-16 15:56:32",1
396,WNMG080408PG-PR1535,MFC,WNMG080408PG-PR1535,NULL,"INSERT PHÁ THÔ R0.8","2019-03-13 16:17:10","2019-03-16 15:56:32",1
397,DNMG150404MS-PR1310,MFC,DNMG150404MS-PR1310,NULL,"INSERT PHÁ THÔ R0.8 ","2019-03-13 16:17:10","2019-03-16 15:56:32",1
398,WNMG080404PG-PV720,MFC,WNMG080404PG-PV720,NULL,"INSERT PHSA THÔ R0.4","2019-03-13 16:17:10","2019-03-16 15:56:32",1
399,16ER150ISO-TF-PR1115,MFC,16ER150ISO-TF-PR1115,NULL,"INSERT TIỆN REN GÓC 60°","2019-03-13 16:17:10","2019-03-16 15:56:32",1
400,TNGA160404T0202-PT600M,MFC,TNGA160404T0202-PT600M,NULL,"INSERT TIỆN THÔ R0.4","2019-03-13 16:17:10","2019-03-16 15:56:32",1
401,VNMG160404PP-CA510,MFC,VNMG160404PP-CA510,NULL,"INSERT PHÁ THÔ R0.4","2019-03-13 16:17:10","2019-03-16 15:56:32",1
402,TCMT090202HQ-PV7025,MFC,TCMT090202HQ-PV7025,NULL,"INSERT PHÁ THÔ R0.4","2019-03-13 16:17:10","2019-03-16 15:56:32",1
