LogID,LogDate,AssessorName,TblName,RecordID,ColumnName,Action,OldValue,NewValue,CompanyCode,MachineCode,Notes
1,"2018-06-24 10:50:37",ASa,Assessor,NULL,,Login,,,Com1,MAC1,LoginPage.actionPerformed
2,"2018-06-24 10:50:38",com1admin,Assessor,NULL,,ShowDashboard,,,Com1,MAC1,DashboardPage.<init>
3,"2018-06-24 10:50:39",com1admin,Assessor,NULL,,ResetPass,,,Com1,MAC1,DashboardPage.actionPerformed
4,"2018-06-24 10:50:40",com1admin,Assessor,NULL,,ResetPasswordPage,,,Com1,MAC1,ResetPasswordPage.<init>
5,"2018-06-24 10:50:46",com1admin,Assessor,NULL,Password,ResetPass,"com1user1 - 123456",XXX,Com1,MAC1,ResetPasswordPage.actionPerformed
6,"2018-06-24 10:50:49",com1admin,DashboardPage,NULL,,TimeOut,,,Com1,MAC1,DashboardPage$3.actionPerformed
7,"2018-06-24 10:50:56",com1admin,Assessor,NULL,,Logout,,,Com1,MAC1,ResetPasswordPage$3.mouseClicked
8,"2018-06-24 10:50:57",com1admin,LockUnlockAccountPage,NULL,,TimeOut,,,Com1,MAC1,ResetPasswordPage$9.actionPerformed
9,"2018-06-24 10:51:05",AAA,Assessor,NULL,,Login,,,Com1,MAC1,LoginPage.actionPerformed
10,"2018-06-24 10:51:05",com1admin,Assessor,NULL,,ShowDashboard,,,Com1,MAC1,DashboardPage.<init>
11,"2018-06-24 10:51:07",com1admin,Assessor,NULL,,LockUser,,,Com1,MAC1,DashboardPage.actionPerformed
12,"2018-06-24 10:51:07",com1admin,Assessor,NULL,,LockUnlockAccountPage,,,Com1,MAC1,LockUnlockAccountPage.<init>
13,"2018-06-24 10:51:10",com1admin,Assessor,NULL,IsLocked,Update,"com1user1 - 0","com1user1 - 0",Com1,MAC1,LockUnlockAccountPage.actionPerformed
14,"2018-06-24 10:51:13",com1admin,Assessor,NULL,IsLocked,Update,"com1user3 - 0","com1user3 - 1",Com1,MAC1,LockUnlockAccountPage.actionPerformed
15,"2018-06-24 10:51:15",com1admin,Assessor,NULL,,Logout,,,Com1,MAC1,LockUnlockAccountPage$3.mouseClicked
16,"2018-06-24 10:51:17",com1admin,DashboardPage,NULL,,TimeOut,,,Com1,MAC1,DashboardPage$3.actionPerformed
17,"2018-06-24 10:51:25",com1admin,LockUnlockAccountPage,NULL,,TimeOut,,,Com1,MAC1,LockUnlockAccountPage$6.actionPerformed
18,"2018-06-24 10:51:33",AAA,Assessor,NULL,,Login,,,Com1,MAC1,LoginPage.actionPerformed
19,"2018-06-24 10:51:34",com1admin,Assessor,NULL,,ShowDashboard,,,Com1,MAC1,DashboardPage.<init>
20,"2018-06-24 10:51:35",com1admin,Assessor,NULL,,GetTools,,,Com1,MAC1,DashboardPage.actionPerformed
